2,1,1,2026,2
3,1,1,2026,4
4,1,1,2026,1
5,1,1,2026,0
6,1,1,2026,0
7,1,1,2026,0
8,1,1,2026,1
9,1,1,2026,0
10,1,1,2026,2
11,1,1,2026,0
12,1,1,2026,0
13,1,1,2026,6
14,1,1,2026,0
15,1,1,2026,7
16,1,1,2026,0
17,1,1,2026,3
18,1,1,2026,2
19,1,1,2026,4
20,1,1,2026,0
21,1,1,2026,0
22,1,1,2026,0
23,1,1,2026,0
24,1,1,2026,0
25,1,1,2026,0
26,1,1,2026,0
27,1,1,2026,0
28,1,1,2026,0
29,1,1,2026,0
30,1,1,2026,3
31,1,1,2026,0
32,1,1,2026,2
33,1,1,2026,0
34,1,1,2026,0
35,1,1,2026,2
36,2,1,2026,2
37,2,1,2026,2
38,2,1,2026,0
39,2,1,2026,2
40,2,1,2026,0
41,2,1,2026,2
42,2,1,2026,0
43,2,1,2026,2
44,2,1,2026,0
45,2,1,2026,0
46,2,1,2026,0
47,2,1,2026,2
48,2,1,2026,4
49,2,1,2026,4
50,2,1,2026,4
51,2,1,2026,2
52,2,1,2026,0
53,2,1,2026,4
54,2,1,2026,0
55,2,1,2026,2
56,2,1,2026,2
57,2,1,2026,0
58,2,1,2026,0
59,2,1,2026,0
60,2,1,2026,2
61,2,1,2026,2
62,2,1,2026,0
63,2,1,2026,2
64,2,1,2026,0
65,2,1,2026,2
66,2,1,2026,0
67,2,1,2026,0
68,3,1,2026,3
68,3,1,2026,0
69,3,1,2026,2
69,3,1,2026,10
70,3,1,2026,2
70,3,1,2026,0
71,3,1,2026,5
71,3,1,2026,0
72,3,1,2026,2
72,3,1,2026,5
73,3,1,2026,4
73,3,1,2026,10
74,3,1,2026,7
74,3,1,2026,6
75,3,1,2026,2
75,3,1,2026,1
76,3,1,2026,6
76,3,1,2026
77,3,1,2026,2
77,3,1,2026,0
78,3,1,2026,2
78,3,1,2026,4
79,3,1,2026,0
79,3,1,2026,0
80,3,1,2026,0
80,3,1,2026,4
81,3,1,2026,2
81,3,1,2026,0
82,3,1,2026,0
82,3,1,2026,1
83,3,1,2026,3
83,3,1,2026,0
84,3,1,2026,3
84,4,1,2026,0
85,4,1,2026,1
85,4,1,2026,0
86,4,1,2026,1
86,4,1,2026,2
87,4,1,2026,0
87,4,1,2026,0
88,4,1,2026,0
88,4,1,2026,1
89,4,1,2026,0
89,4,1,2026,1
90,4,1,2026,2
90,4,1,2026,0
91,4,1,2026,0
91,4,1,2026,1
92,4,1,2026,1
92,4,1,2026,0
93,4,1,2026
93,4,1,2026,0
94,4,1,2026,0
94,4,1,2026,1
95,4,1,2026,0
95,4,1,2026,0
96,4,1,2026,0
96,4,1,2026,1
97,4,1,2026,1
97,4,1,2026,2
98,4,1,2026,0
98,4,1,2026,0
99,4,1,2026,1
99,4,1,2026,0
100,4,1,2026,0
100,4,1,2026,0
101,8,1,2026,0
102,8,1,2026,0
103,8,1,2026,0
104,8,1,2026,0
105,8,1,2026,0
106,8,1,2026,0
107,8,1,2026,0
108,8,1,2026,0
109,8,1,2026,0
110,8,1,2026,0
111,8,1,2026,0
112,8,1,2026,0
113,8,1,2026,0
114,8,1,2026,0
115,8,1,2026,0
116,8,1,2026,0
117,8,1,2026,0
118,8,1,2026,0
119,8,1,2026,0
120,8,1,2026,0
121,8,1,2026,0
122,8,1,2026,0
123,8,1,2026,0
124,8,1,2026,0
125,8,1,2026,0
126,8,1,2026,0
127,8,1,2026,0
128,8,1,2026,0
101,5,1,2026,1
102,5,1,2026,3
103,5,1,2026,3
104,5,1,2026,2
105,5,1,2026,2
106,5,1,2026,3
107,5,1,2026,2
108,5,1,2026,3
109,5,1,2026,3
110,5,1,2026,2
111,5,1,2026,2
112,5,1,2026,3
113,5,1,2026,2
114,5,1,2026,2
115,5,1,2026,3
116,5,1,2026,2
